id,timestamp,url,message_type,message_class,message_content
5909,1487326302328 ,/service/charting/resource/image?path=/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png
5910,1487326302329 ,/service/charting/resource/image?path=/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png
5911,1487326302360 ,/service/charting/resource/image?path=/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png
5912,1487326426978 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
5913,1487326474258 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6113,1487327743619 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6209,1487328104115 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6210,1487328104230 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6211,1487328109838 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6212,1487328272608 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6213,1487328346781 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6311,1487329021493 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6312,1487329194947 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6313,1487329284319 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6411,1487329315453 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6412,1487329547003 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6413,1487329558322 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6510,1487330147323 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6511,1487330264329 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6512,1487330313884 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6513,1487330479202 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6605,1487330569944 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6606,1487330618950 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6607,1487330620934 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6608,1487330628158 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6609,1487330635387 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6610,1487330668686 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6611,1487330852924 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6612,1487331033433 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6613,1487331066762 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6705,1487331099513 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6706,1487331190225 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6707,1487331222143 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6708,1487331433021 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6709,1487331478156 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6710,1487331515247 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6711,1487331556703 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6712,1487331587511 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6713,1487331600275 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6794,1487331934753 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6795,1487331990361 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6796,1487332008815 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6797,1487332031993 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6798,1487332124723 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6799,1487332147803 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6800,1487332189956 ,/login/cas?ticket=ST-4562-h3tiHx4AMEyJVohPaBtj-cas01.tubiaoxiu.com GET,WARN,[org.hibernate.engine.jdbc.spi.SqlExceptionHelper],"SQLError:1406,SQLState:22001"
6801,1487332189956 ,/login/cas?ticket=ST-4562-h3tiHx4AMEyJVohPaBtj-cas01.tubiaoxiu.com GET,ERROR,[org.hibernate.engine.jdbc.spi.SqlExceptionHelper],Datatruncation:Datatoolongforcolumn'referer'atrow1
6802,1487332189958 ,/login/cas?ticket=ST-4562-h3tiHx4AMEyJVohPaBtj-cas01.tubiaoxiu.com GET,WARN,[org.hibernate.engine.jdbc.spi.SqlExceptionHelper],"SQLWarningCode:1406,SQLState:22001"
6804,1487332189965 ,/login/cas?ticket=ST-4562-h3tiHx4AMEyJVohPaBtj-cas01.tubiaoxiu.com GET,WARN,[com.neusoft.chartsshow.security.authentication.springsecurity.cas.CSCasAuthenticationSuccessHandler],Userauthenticationaccessstatsupdatefailed.
6805,1487332190975 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6806,1487332207054 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6807,1487332215387 ,/service/charting/resource/image?path=/book/image/20e862b7-a8ad-4a24-982b-4c91d72219ae.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/20e862b7-a8ad-4a24-982b-4c91d72219ae.png
6808,1487332217444 ,/service/charting/resource/image?path=/book/image/36ceb6de-4985-4c3a-ba55-e9d185bfbf16.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/36ceb6de-4985-4c3a-ba55-e9d185bfbf16.png
6809,1487332218719 ,/service/charting/resource/image?path=/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png
6810,1487332219498 ,/service/charting/resource/image?path=/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png
6811,1487332220552 ,/service/charting/resource/image?path=/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png
6812,1487332241789 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6813,1487332271086 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6908,1487332335056 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
6909,1487332434103 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
6910,1487332529651 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
