clients,cpu,httpMeanTimes,threadCount,usedMemory,httpSessions
0,0,14,25,154400000,0
0,0,14,25,158833000,0
0,0,14,25,163275000,0
0,0,14,25,167708000,0
0,0,14,25,172141000,0
0,0,14,25,176589000,0
0,0,12,25,181172000,0
10,0,12,25,186196000,0
20,2,405,26,128844000,140
30,2,216,27,166057000,246
40,2,376,28,129886000,348
50,2,368,30,151625000,434
60,2,295,30,122756000,511
70,2,290,30,151746000,578
80,2,714,30,132738000,658
90,2,1128,32,124074000,744
100,2,1359,32,202860000,800
110,2,707,32,173448000,850
120,2,588,32,150348000,902
130,2,535,32,139027000,956
140,2,582,32,170311000,1027
150,2,758,33,198979000,1103
160,2,687,40,150289000,1162
170,2,719,40,207011000,1220
180,2,772,40,203667000,1278
190,2,539,40,170239000,1330
200,2,288,43,131881000,1395
210,2,383,47,170494000,1452
220,2,331,48,165046000,1502
230,2,290,48,165551000,1565
240,2,818,48,184742000,1624
250,3,565,48,213655000,1732
260,3,819,48,205431000,1809
