HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,deadLockThreads,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesReceived,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize,usedSwapSpaceSize
4,0,1,19,3,0,80,27538100000,0,38291,15,48,456,24,1784,16,0,4,0,45,38306,8049,7,0.35,26,1,0,8316370,10,55449700,58308200,1047410000,0
4,0,0,19,3,0,78,27537400000,0,38747,15,48,448,86,1782,16,0,4,0,45,38762,8049,7,0.22,26,0,0,8521930,10,69860300,58324600,1049030000,0
4,0,0,17,2,0,77,27536900000,0,39195,15,48,434,32,1758,16,0,4,0,45,39210,8049,7,0.13,26,0,0,8094520,10,85209800,58325100,1050170000,0
4,0,0,19,3,0,77,27536400000,0,39629,15,48,439,151,1734,16,0.22779,4,0,45,39644,8049,7,0.19,26,0,0,8414950,10,69395900,58331500,1051220000,0
4,0,4,17,3,0,81,27536400000,0,40068,15,49,406,51,1717,16,0,4,0,46,40083,8049,7,0.27,26,4,0,8384230,10,57971500,58352200,1053850000,0
4,0,1,20,3,0,83,27535200000,0,40474,15,49,336,281,1773,16,0,4,0,46,40489,8049,7,0.14,26,1,0,8419070,10,61163600,58353400,1056330000,0
4,0,3,18,2,0,81,27534600000,0,40810,15,49,383,111,1744,16,0,4,0,46,40825,8049,7,0.29,26,3,0,8294380,10,69751900,58355500,1057470000,0
4,0,0,18,3,0,79,27533800000,0,41193,15,49,385,147,1737,16,0,4,0,46,41208,8050,7,0.22,26,0,0,8309010,10,86158900,58357400,1058290000,0
4,0,0,15,3,0,76,27533400000,0,41578,15,49,461,41,1654,15,0,4,0,46,41593,8050,7,0.23,26,0,0,8297480,10,63068600,58380100,1058920000,0
4,0,1,14,3,0,77,27532800000,0,42039,15,49,467,45,1667,16,0,4,0,46,42054,8050,7,0.24,26,1,0,8421240,10,79446100,58386400,1059820000,0
4,0,0,12,2,0,76,27532300000,0,42506,15,49,284,236,1669,16,0,3,0,46,42521,8050,7,0.16,26,0,0,8385930,10,88362800,58387600,1060510000,0
0,0,0,16,2,0,78,27531900000,0,0,0,0,283,148,1637,16,0,0,0,0,0,8050,7,0.06,26,0,0,8303330,10,67625200,58387600,1061110000,0
0,0,4,16,2,0,115,27531400000,0,283,0,0,404,21,1620,16,0,2,0,0,283,8054,7,0.29,26,4,0,8197020,10,72992600,58395100,1062190000,0
0,0,0,15,3,0,76,27530400000,0,687,0,0,401,131,1673,16,0,2,0,0,687,8054,7,0.11,26,0,0,8432020,10,91098100,58395100,1063400000,0
0,0,0,19,2,0,76,27529900000,0,1088,0,0,421,92,1588,15,0,2,0,0,1088,8054,7,0.04,26,0,0,8375320,10,83947100,58395100,1064100000,0
0,0,3,19,3,0,83,27529200000,0,1509,0,0,441,24,1546,16,0,2,0,0,1509,8054,7,0.16,26,3,0,8422440,10,91706200,58452200,1069330000,0
0,0,0,16,3,0,74,27528300000,0,1950,0,0,456,130,1574,15,0,2,0,0,1950,8054,7,0.3,26,0,0,8226950,10,73605400,58465000,1072480000,0
0,0,2,13,3,0,80,27527600000,0,2406,0,0,372,155,1587,15,0.268817,2,0,0,2406,8054,7,0.49,26,2,0,8600590,10,70050700,58479200,1075180000,0
1,0,0,13,2,0,74,27526800000,0,2778,0,1,294,225,1595,15,0,2,0,1,2778,8054,7,0.35,26,0,0,8290890,10,82814800,58480000,1075840000,0
1,0,1,17,3,0,75,27526400000,0,3072,0,1,488,17,1569,15,0,2,0,1,3072,8054,7,0.23,26,1,0,8258650,10,87809500,58480700,1077400000,0
1,0,0,19,2,0,82,27525900000,0,3560,0,1,348,93,1540,15,0,2,0,1,3560,8054,7,0.28,26,0,0,8863100,10,81353800,58480700,1078140000,0
1,0,2,15,3,0,81,27525000000,0,3908,0,1,333,204,1515,15,0,2,0,0,3908,8054,7,0.14,26,2,0,7986900,10,94576400,58482300,1079180000,0
1,0,1,19,2,0,78,27524500000,0,4241,0,1,319,279,1494,15,0,2,0,0,4241,8054,7,0.16,26,1,0,8363830,10,68917400,58482800,1079910000,0
1,0,3,21,3,0,82,27523800000,0,4560,0,1,496,19,1504,15,0,2,0,0,4560,8054,7,0.29,26,3,0,8362420,10,96431400,58482800,1081150000,0
1,0,2,24,3,0,83,27522600000,0,5056,0,1,409,220,1548,14,0,2,0,0,5056,8054,7,0.34,26,2,0,8445960,10,96991400,58485200,1084100000,0
1,0,5,24,3,0,86,27521600000,0,5465,0,1,402,144,1594,14,0,2,0,0,5465,8054,7,0.16,26,5,0,8393670,10,84559900,58485600,1085350000,0
1,0,4,27,2,0,84,27520900000,0,5867,0,1,334,444,1622,15,0,2,0,0,5867,8054,7,0.09,26,4,0,8410090,10,81659000,58487700,1086350000,0
