HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,fileDescriptors,free_disk_space,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
2,0,0,13,3,201,25327300000,16928,1,3,422,95,1476,14,0,2,0,1,16929,8826,7,0.06,29,0,8352440,137,307632000,70358200,1808180000
2,0,0,10,3,199,25326600000,17350,1,3,488,50,1451,14,0,2,0,1,17351,8826,7,0.14,29,0,8298800,135,368124000,70361200,1809180000
2,0,0,13,2,198,25326300000,17838,1,3,360,134,1457,14,0,2,0,1,17839,8826,7,0.09,29,0,8338710,134,343853000,70382400,1809780000
2,0,2,9,3,201,25324900000,18198,1,3,259,560,1513,14,0,2,0,1,18199,8826,7,0.07,29,2,8298120,135,378673000,70384600,1811310000
2,0,0,12,2,194,25324500000,18457,1,3,375,116,1478,14,0,2,0,1,18458,8826,7,0.02,29,0,8198930,135,361426000,70385400,1811660000
2,0,0,16,3,201,25323600000,18832,1,3,425,61,1502,14,0,2,0,1,18833,8826,7,0.06,29,0,8494820,136,328766000,70385400,1812640000
2,0,5,14,2,206,25322700000,19257,1,3,377,244,1517,14,0,2,0,1,19258,8826,7,0.02,29,5,8274360,137,289488000,70386700,1813870000
2,0,1,17,2,200,25322400000,19634,1,3,387,246,1512,14,0,2,0,1,19635,8826,7,0.15,29,1,8419350,137,384160000,70386700,1814110000
2,0,1,17,3,209,25321500000,20021,1,3,440,193,1550,14,0,2,0,1,20022,8826,7,0.18,29,1,8355720,140,356655000,70434700,1815290000
2,0,1,18,3,208,25320700000,20461,1,3,367,242,1581,15,0,2,0,1,20462,8826,7,0.19,29,1,8315920,140,357258000,70450600,1816250000
2,0,1,21,3,205,25319800000,20828,1,3,336,358,1617,15,0.297619,2,0,1,20829,8826,7,0.22,29,1,8392830,134,363691000,70461200,1817460000
2,0,0,24,3,206,25319000000,21164,1,4,400,221,1615,15,0,2,0,1,21165,8826,7,0.11,29,0,8480460,136,324090000,70481500,1818490000
2,0,1,23,2,210,25318300000,21564,1,4,361,252,1581,14,0,2,0,1,21565,8826,7,0.32,29,1,8244120,137,371076000,70481700,1819610000
2,0,2,23,2,210,25317700000,21925,1,4,424,150,1545,14,0.235849,2,0,1,21926,8826,7,0.12,29,2,8171140,137,394736000,70507000,1820270000
2,0,2,25,3,206,25317000000,22348,2,4,458,228,1541,14,0.218341,2,0,2,22350,8826,7,0.04,29,2,8397520,135,343006000,70519200,1821030000
2,0,1,21,3,204,25316300000,22806,2,5,409,129,1534,14,0,2,0,2,22808,8826,7,0.13,29,1,8420780,134,308113000,70535400,1822090000
2,0,4,24,3,209,25315300000,23215,2,5,391,201,1584,14,0,2,0,2,23217,8826,7,0.05,29,4,8137930,135,346366000,70624700,1823210000
2,0,2,24,3,207,25314300000,23606,2,5,408,465,1625,14,0.735294,2,0,2,23608,8826,7,0.08,29,3,8480780,135,368823000,70629600,1824350000
2,0,1,20,2,205,25313700000,24014,2,8,381,176,1645,15,0,2,0,4,24016,8826,7,0.24,29,1,8414900,134,297606000,70656800,1824990000
2,0,1,21,3,201,25313000000,24395,2,8,388,177,1681,15,0,2,0,4,24397,8826,7,0.36,29,1,8396650,134,396762000,70658100,1825750000
2,0,1,21,3,205,25312300000,24783,2,8,378,260,1667,15,0.529101,2,0,4,24785,8826,7,0.13,29,1,8318160,134,371772000,70659200,1826670000
2,0,0,20,2,199,25311800000,25161,2,10,414,130,1640,15,0,2,0,5,25163,8826,7,0.09,29,0,8297340,134,372237000,70659200,1827090000
2,0,0,17,2,199,25311200000,25575,2,10,404,195,1558,14,0,2,0,5,25577,8826,8,0.16,29,0,8306000,133,301893000,70659900,1827630000
2,0,1,17,2,203,25310600000,25979,2,10,463,49,1547,14,0,2,0,5,25981,8826,7,0.06,29,1,8243780,135,318280000,70659900,1828390000
2,0,1,17,3,201,25309900000,26442,2,10,421,91,1574,15,0,2,0,5,26444,8826,7,0.02,29,1,8342430,135,412909000,70726200,1829280000
2,0,1,19,3,200,25308800000,26863,2,10,462,130,1617,15,0.21645,2,0,5,26865,8826,7,0.01,29,1,8381740,134,337209000,70729600,1830490000
2,0,1,16,4,198,25307500000,27325,2,11,411,115,1659,14,0,2,0,5,27327,8826,7,0,29,1,8294480,134,384902000,70752800,1831930000
2,0,0,19,3,202,25306500000,27736,2,11,456,85,1701,14,0,2,0,5,27738,8826,7,0.1,29,0,8414880,138,301825000,70754000,1833430000
2,0,1,22,3,208,25305300000,28192,2,11,373,310,1746,14,0,2,0,5,28194,8826,7,0.25,29,1,8339700,138,368275000,70754000,1834640000
2,0,3,21,3,207,25304600000,28565,2,11,404,145,1734,14,0,2,0,5,28567,8826,7,0.12,29,3,8242420,134,324992000,70755300,1835290000
2,0,1,18,2,202,25304000000,28969,2,11,366,264,1692,14,0,2,0,5,28971,8826,7,0.19,29,1,8389910,133,351118000,70755300,1835900000
2,0,1,16,2,197,25303600000,29335,2,11,380,127,1674,15,0,2,0,5,29337,8826,7,0.29,29,1,8277690,133,340592000,70758300,1836360000
2,0,1,15,1,201,25303300000,29715,2,11,291,308,1654,15,0,2,0,6,29717,8826,7,0.11,29,1,8420850,133,412685000,70759900,1836870000
2,0,0,13,1,202,25303000000,30006,2,11,298,165,1622,15,0,2,0,5,30008,8826,7,0.2,29,0,8269740,135,363188000,70762400,1837180000
2,0,0,13,2,199,25302700000,30304,2,11,420,37,1568,15,0,2,0,6,30306,8826,7,0.16,29,0,8282360,135,331661000,70771200,1837460000
2,0,1,12,3,196,25302100000,30724,2,11,481,13,1568,16,0,2,0,5,30726,8826,7,0.25,29,1,8364090,134,380832000,70792300,1838290000
